Tasks/TerminationRate/t=2,Inference/Loss,policy/dLoss,Evaluation/Iteration,Tasks/EpisodeLength/t=2,Evaluation/AverageDiscountedReturn,policy/LossAfter,policy/EntRewards,Tasks/EpisodeLength/t=3,Inference/dLoss,policy/Encoder/dLoss,policy/Encoder/LossBefore,policy/Encoder/KLBefore,Evaluation/SuccessRate,Evaluation/TerminationRate,policy/Encoder/Entropy,Inference/RRSE,Inference/RMSE,TotalEnvSteps,policy/EntReturns,Tasks/TerminationRate/t=1,Tasks/EpisodeLength/t=1,Tasks/EpisodeLength/t=0,policy/Encoder/KL,policy/Encoder/LossAfter,Evaluation/StdReturn,policy/KL,Evaluation/MinReturn,LinearMultiFeatureBaseline/ExplainedVariance,policy/KLBefore,Inference/CrossEntropy,Evaluation/NumEpisodes,policy/Entropy,Tasks/TerminationRate/t=3,Tasks/TerminationRate/t=0,policy/LossBefore,Evaluation/AverageReturn,Evaluation/MaxReturn
0.0,0.540718,0.0010118736,0,100.0,-261.36180936987967,-0.012283631,-0.06481121176626624,100.0,0.03934753,-3.1376648,-59.873924,0.0,0.0,0.0,0.04858833,1.9931829,0.65164506,4100,-4.055182817620334,0.0,100.0,100.0,0.0156437,-56.73626,145.95657495412226,0.015756568,-713.4355385303497,-7.453561479131565e-08,0.014326075,1.3598574,41,3.060215558307927,0.0,0.0,-0.011271757,-445.011805029904,-148.54068863391876
0.0,0.763996,0.0004868284,1,100.0,-255.20435274005163,-0.025763582,-0.07600157290128269,100.0,0.021589756,1.309309,13.295499,0.0,0.023809523809523808,0.023809523809523808,0.015399173,0.8902786,0.35606846,8239,-4.8159719669796175,0.0,100.0,94.45454545454545,0.0035389115,11.98619,135.29448464154706,0.046522822,-731.5997586250305,0.4786225094066835,0.044662837,1.5489259,42,2.9497401810521864,0.0,0.09090909090909091,-0.025276754,-434.4072605690786,-49.098020523786545
0.0,0.6567178,0.00047115982,2,100.0,-251.80156835661168,-0.01931911,-0.08433499903213687,100.0,0.022500515,1.1466675,-19.372799,0.0,0.0,0.0,0.06955695,0.9030039,0.34508425,12339,-5.498602541825818,0.0,100.0,100.0,0.0027766514,-20.519466,123.17222040047719,0.025537666,-682.0317692756653,0.4271713412439673,0.024122369,1.7708392,41,3.2475645483993905,0.0,0.0,-0.01884795,-427.06429519740544,-167.92346042394638
0.0,1.0236306,0.00034737308,3,100.0,-232.33020046103942,-0.010367831,-0.08610985632349805,100.0,0.014344811,0.064323425,-71.53421,0.0,0.0,0.0,0.08814855,0.8500543,0.38341686,16439,-5.574233743062138,0.0,100.0,100.0,0.005738528,-71.59853,91.61373800763926,0.010667156,-663.687338590622,0.3301304372467916,0.009742898,1.797132,41,3.300784346417683,0.0,0.0,-0.010020458,-385.83577777263594,-191.3538138270378
0.0,0.6998457,0.0004940182,4,100.0,-220.2432527836892,-0.03282802,-0.08203295539065106,100.0,0.016976357,-3.400055,-81.120926,0.0,0.0,0.0,0.07233951,0.76606625,0.34217635,20539,-5.427462548342049,0.0,100.0,100.0,0.0038227336,-77.72087,100.48556473554804,0.04625382,-540.1026854515076,0.10915061195738895,0.045324657,1.716796,41,3.435753144054878,0.0,0.0,-0.032334004,-363.3671249238456,-168.3844223022461
0.0,0.71152717,0.0008472763,5,100.0,-214.10728508934136,-0.020769287,-0.07893218354481023,100.0,0.014184773,-0.20612335,-74.402885,0.0,0.0,0.0,0.09765539,0.7186354,0.34630734,24639,-5.17604010597114,0.0,100.0,100.0,0.0022826986,-74.19676,96.69049107623171,0.021559319,-559.8828423023224,0.3442525927462805,0.019711418,1.6692988,41,3.5140470179115852,0.0,0.0,-0.01992201,-353.0265231793974,-195.38170605897903
0.0,0.9958854,0.0006190669,6,100.0,-194.8528948722771,-0.023842009,-0.09331907537652225,100.0,0.022649527,-6.415184,-116.70826,0.0,0.0,0.0,0.1529077,0.7681314,0.39685082,28739,-6.165568262488534,0.0,100.0,100.0,0.0054629766,-110.293076,91.13593432104302,0.028230874,-538.3186266422272,0.31751510067650335,0.027121773,1.9493517,41,3.5838729039634147,0.0,0.0,-0.023222942,-318.79935581291596,-171.3593913912773
0.0,1.0152475,0.0006201044,7,100.0,-185.9874246084055,-0.032884367,-0.07980127133974214,100.0,0.019415379,10.523712,-166.23772,0.0,0.0,0.0,0.2384521,0.7193432,0.4162051,32839,-5.28070283300076,0.0,100.0,100.0,0.0035425292,-176.76143,84.12604757010703,0.04007635,-489.5077290534973,-0.5639022333267978,0.038279887,1.6634665,41,3.608892911585366,0.0,0.0,-0.032264262,-306.4573223590851,-164.33141547441483
0.1,0.7576931,0.00011937879,8,94.6,-179.4948377336905,-0.0106195435,-0.07169138402550032,100.0,0.014221907,6.858124,-183.6865,0.0,0.023809523809523808,0.023809523809523808,0.19933644,0.7171299,0.37159118,36985,-4.7945909772469975,0.0,100.0,100.0,0.010089322,-190.54462,114.72825328268384,0.0071806693,-583.263947725296,0.050937451303937786,0.006935371,1.504538,42,3.819777816720936,0.0,0.0,-0.010500165,-290.9238796011057,-63.99811196513474
0.0,0.7195727,0.00065480825,9,100.0,-175.53853062810288,-0.013828651,-0.06824101391725423,100.0,0.01304251,-5.1427765,-211.17091,0.0,0.0,0.0,0.19905724,0.6121964,0.32575592,41085,-4.540952404123686,0.0,100.0,100.0,0.016639289,-206.02814,102.51024437468493,0.010680567,-524.2096836566925,0.5169268144124282,0.009529616,1.4391416,41,3.7409375,0.0,0.0,-0.013173843,-287.3039667639064,-145.30643570423126
0.0,0.5037386,0.0004886789,10,100.0,-163.14155760883276,-0.012877532,-0.05888964915784394,100.0,0.014546692,23.04219,-190.41666,0.0,0.0,0.0,0.1559227,0.5663307,0.30278328,45185,-3.8936291587453695,0.0,100.0,100.0,0.007601702,-213.45885,77.74137668307512,0.010469276,-413.0895528793335,0.15327507517209804,0.0100087505,1.2599878,41,3.7495622141768292,0.0,0.0,-0.012388853,-265.0217158808941,-133.6392840743065
0.0,0.5500772,2.2323802e-05,11,100.0,-156.72668200188878,-0.021083295,-0.06199712669984534,100.0,0.012325525,-6.0705414,-178.2851,0.0,0.023809523809523808,0.023809523809523808,0.16184525,0.5569153,0.32584393,49331,-4.135668461978412,0.0,100.0,94.6,0.0048347344,-172.21455,84.87964596883388,0.016134348,-446.45285725593567,-0.2671930345667741,0.016051542,1.2938244,42,3.8310129963368307,0.0,0.1,-0.021060972,-252.46627880952187,-76.65705375373363
0.45454545454545453,0.5619776,0.00042623468,12,69.36363636363636,-142.55865074153175,-0.01801538,-0.06355524239218238,100.0,0.01473701,-12.606575,-105.36674,0.0,0.1111111111111111,0.1111111111111111,0.08490847,0.65979224,0.35600752,53494,-4.439670791671375,0.0,100.0,100.0,0.006544845,-92.76016,95.63693034211309,0.008709596,-392.2963628768921,0.24786056429716619,0.008519067,1.2309706,45,3.6206358470454,0.0,0.0,-0.017589144,-227.3620305111011,-33.80309036374092
0.0,0.5621006,0.0003158506,13,100.0,-148.54731269702182,-0.016396547,-0.06706898339382074,98.0909090909091,0.011833429,-26.70211,-138.9839,0.0,0.047619047619047616,0.047619047619047616,0.1298895,0.5564441,0.32040644,57614,-4.442799607665677,0.0,100.0,94.63636363636364,0.013503906,-112.28179,82.62454032560025,0.0056004925,-509.14644265174866,0.1705480270770242,0.0054849717,1.386479,42,3.6252064528974515,0.09090909090909091,0.09090909090909091,-0.016080696,-236.71633492623056,-61.03765743970871
0.3,0.54070634,0.00046610087,14,80.1,-135.02210351432302,-0.029702527,-0.06052891826852527,99.0,0.015785277,-0.1605835,-114.80047,0.0,0.11363636363636363,0.11363636363636363,0.09596002,0.6214268,0.36290792,61759,-4.2473514417316665,0.0,100.0,96.46153846153847,0.022078643,-114.639885,75.22508494034186,0.042737458,-338.2544803619385,-0.031453963667236184,0.041489653,1.2125267,44,3.440709109243064,0.1,0.07692307692307693,-0.029236427,-214.21439302695745,-33.77305480837822
0.09090909090909091,0.48721913,0.0002436135,15,93.54545454545455,-134.427793370368,-0.024151322,-0.06080529209330148,94.8,0.01075083,-6.421921,-115.22062,0.0,0.11363636363636363,0.11363636363636363,0.13836914,0.5833422,0.33334708,65923,-4.310564173577319,0.0,100.0,88.7,0.006197802,-108.7987,79.35963474018627,0.010189811,-434.4442582130432,0.28074632227893725,0.009659044,1.2170949,44,3.4443272600714456,0.2,0.2,-0.023907708,-210.87652885304257,-33.60745143890381
